date,steps,distance,runDistance,calories
2019-10-06,6481,4675,265,170
2019-10-07,15102,11094,964,376
2019-10-08,11495,8529,560,305
2019-10-09,9766,7066,581,243
2019-10-10,16599,11876,883,405
2019-10-11,19714,13956,731,458
2019-10-12,351,230,23,10
2019-10-13,3487,2392,285,83
2019-10-14,12205,8966,741,311
2019-10-15,12035,8745,1040,307
2019-10-16,12230,9115,836,316
2019-10-17,11739,8426,551,290
2019-10-18,75,49,0,2
2019-10-19,249,163,20,8
2019-10-20,3837,2650,259,99
2019-10-21,12730,9224,733,314
2019-10-22,11436,8569,718,301
2019-10-23,11477,8427,318,292
2019-10-24,15169,10920,1046,366
2019-10-25,17340,12826,522,441
2019-10-26,13551,9847,232,320
2019-10-27,3016,2157,204,78
2019-10-28,7871,5719,591,196
2019-10-29,11517,8555,323,305
2019-10-30,12815,9456,537,325
2019-10-31,10286,7665,722,279
2019-11-01,18912,14265,619,501
2019-11-02,519,339,35,12
2019-11-03,2631,1864,59,64
2019-11-04,13444,9658,529,316
2019-11-05,9869,7343,241,253
2019-11-06,14226,10336,659,346
2019-11-07,13131,9348,647,304
2019-11-08,17682,12615,515,420
2019-11-09,10966,7989,336,273
2019-11-10,569,372,126,17
2019-11-11,15010,10864,1115,377
2019-11-12,18020,13292,702,466
2019-11-13,15407,11404,1001,403
2019-11-14,14699,10585,542,351
2019-11-15,17044,12849,648,444
2019-11-16,367,240,26,10
2019-11-17,15258,11196,465,391
2019-11-18,664,442,75,18
2019-11-19,15870,11372,636,387
2019-11-20,13941,10102,1003,340
2019-11-21,13050,9637,302,335
2019-11-22,23502,16836,702,564
2019-11-23,7778,5710,280,211
2019-11-24,3433,2443,155,88
2019-11-25,17846,13040,637,456
2019-11-26,19324,14321,545,494
2019-11-27,21511,15821,1009,540
2019-11-28,16523,12018,566,414
2019-11-29,21816,15669,889,538
2019-11-30,15936,11647,421,395
2019-12-01,2890,2036,119,77
2019-12-02,29161,21560,842,738
2019-12-03,22193,16563,669,585
2019-12-04,19737,14621,708,507
2019-12-05,20289,14933,666,512
2019-12-06,16443,11829,654,406
2019-12-07,10380,7870,184,283
2019-12-08,1823,1202,165,46
2019-12-09,20418,15256,721,541
2019-12-10,16354,11759,742,404
2019-12-11,17433,12729,905,447
2019-12-12,1387,936,74,33
2019-12-13,1871,1320,219,51
2019-12-14,3739,2814,129,104
2019-12-15,7316,5153,177,170
2019-12-16,14270,10123,552,343
2019-12-17,2210,1614,87,60
2019-12-18,7154,5236,316,182
2019-12-19,3763,2605,276,100
2019-12-20,14530,9996,556,323
2019-12-21,2445,1609,181,57
2019-12-22,10985,7532,512,250
2019-12-23,12059,8103,422,258
2019-12-24,9161,6130,335,206
2019-12-25,2701,1807,54,59
2019-12-26,2950,2121,341,79
2019-12-27,1503,1119,99,45
2019-12-28,2495,1884,103,76
2019-12-29,787,515,91,20
2019-12-30,6179,4623,142,163
2019-12-31,4798,3572,232,128
2020-01-01,2463,1611,218,63
2020-01-02,1475,976,156,40
2020-01-03,842,556,66,21
2020-01-04,2858,1996,74,68
2020-01-05,7986,5569,186,186
2020-01-06,17549,12827,428,438
2020-01-07,11047,7837,288,256
2020-01-08,15023,11341,918,422
